,Product,Date,Category,Brand,Color,Availability,Volume
0,ME-ECM2026 اسپرسو ساز مباشی-سفید,,قهوه  و چای ساز,ناشناخته,سفید,0,0
1,آبمیوه گیری بیم مدل FP-2004-بنفش,,آب مرکبات گیری,ناشناخته,بنفش,0,0
2,آل این وان اچ پی مدل CB1010NH-AA i7 1255U ظرفیت 1 ترابایت و رم 32 گیگابایت 27 اینچ-سفید,,کامپیوتر همه کاره (all in one),اچ پی,سفید,0,0
3,آل این وان ام اس ای مدل PRO 22X 12M W i5 12400 ظرفیت 512 گیگابایت و رم 16 گیگابایت 22 اینچ-سفید,,کامپیوتر همه کاره (all in one),ام اس آی,سفید,0,0
4,آل این وان ایسوس مدل V222FAK-BA117M i5 10210U ظرفیت 256 گیگابایت و رم 16 گیگابایت 22 اینچ-مشکی,,کامپیوتر همه کاره (all in one),ایسوس,مشکی,0,0
5,آل این وان لنوو مدل IdeaCentre A340-A i3 10110U ظرفیت 256 گیگابایت و رم 8 گیگابایت 24 اینچ-مشکی,,کامپیوتر همه کاره (all in one),لنوو,مشکی,0,0
6,آل این وان لنوو مدل IdeaCentre AIO 3-R i5 1240P ظرفیت 512 گیگابایت و رم 8 گیگابایت 23.8 اینچ-سفید,,کامپیوتر همه کاره (all in one),لنوو,سفید,0,0
7,آل این وان لنوو مدل V30A-BB   i5 1035G1 ظرفیت 1 ترابایتHDD و 256 گیگابایت SSD و رم 8 گیگابایت 21.5 اینچ-مشکی,,کامپیوتر همه کاره (all in one),لنوو,مشکی,0,0
8,آل این وان لنوو مدل V30A-BC   i5 1035G1 ظرفیت 1 ترابایتHDD و 128 گیگابایت SSD و رم 12 گیگابایت 21.5 اینچ-مشکی,,کامپیوتر همه کاره (all in one),لنوو,مشکی,0,0
9,آل این وان لنوو مدل V30A-BD   i5 1035G1 ظرفیت 1 ترابایتHDD و 256 گیگابایت SSD و رم 16 گیگابایت 21.5 اینچ-مشکی,,کامپیوتر همه کاره (all in one),لنوو,مشکی,0,0
10,آنتن رومیزی سومو مدل DVB-T3015-مشکی,,سایر لوازم جانبی صوتی و تصویری,سومو,مشکی,0,0
11,آون توستر تولیپس مدل OT-A3807CD-نقره ای,,لوازم خانگی و آشپزخانه,تولیپس,نقره ای,1,0
12,اجاق گاز 5 شعله اسنوا مدل SGC5-31121-بنفش,,اجاق گاز,اسنوا,بنفش,0,0
13,اجاق گاز 5 شعله اسنوا مدل SGC5-7111-بنفش,,اجاق گاز,اسنوا,بنفش,0,0
14,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-04-10,هارد اینترنال,ای دیتا,مشکی,42,3
15,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-03-20,هارد اینترنال,ای دیتا,مشکی,42,2
16,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-03-31,هارد اینترنال,ای دیتا,مشکی,42,1
17,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-03-30,هارد اینترنال,ای دیتا,مشکی,42,1
18,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-03-02,هارد اینترنال,ای دیتا,مشکی,42,1
19,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-01-25,هارد اینترنال,ای دیتا,مشکی,42,1
20,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,1403-01-25,هارد اینترنال,ای دیتا,مشکی,42,1
21,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-03-28,هارد اینترنال,ای دیتا,آبی,0,1
22,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-04-07,هارد اینترنال,ای دیتا,آبی,0,3
23,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-04-06,هارد اینترنال,ای دیتا,آبی,0,1
24,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-04-16,هارد اینترنال,ای دیتا,آبی,0,1
25,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-03-30,هارد اینترنال,ای دیتا,آبی,0,1
26,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-03-11,هارد اینترنال,ای دیتا,آبی,0,1
27,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-04-01,هارد اینترنال,ای دیتا,آبی,0,1
28,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-04-02,هارد اینترنال,ای دیتا,آبی,0,1
29,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-03-21,هارد اینترنال,ای دیتا,آبی,0,1
30,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-03-21,هارد اینترنال,ای دیتا,آبی,0,1
31,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,1403-03-15,هارد اینترنال,ای دیتا,آبی,0,1
32,اس اس دی اینترنال اپیسر مدل AS350X ظرفیت 128 گیگابایت-مشکی,1403-04-24,هارد اینترنال,اپیسر,مشکی,1,1
33,اس اس دی اینترنال ای دیتا مدل SU750 ظرفیت 256 گیگابایت-مشکی,,هارد اینترنال,ای دیتا,مشکی,0,0
34,اس اس دی اینترنال ای دیتا مدل SU750 ظرفیت 512 گیگابایت-مشکی,,هارد اینترنال,ای دیتا,مشکی,0,0
35,اسپرسوساز مباشی مدل ECM2013 -سفید,,قهوه  و چای ساز,ناشناخته,سفید,0,0
36,اسپرسوساز مباشی مدل ECM2013 -قرمز,,قهوه  و چای ساز,ناشناخته,قرمز,0,0
37,اسپیکر انرجایزر مدل BTS470-مشکی,1403-03-02,اسپیکر,انرجایزر ,مشکی,4,1
38,اسپیکر انرجایزر مدل BTS470-مشکی,1403-04-31,اسپیکر,انرجایزر ,مشکی,4,1
39,اسپیکر بلوتوثي قابل حمل انکر مدل Soundcore Icon A3122-مشکی,,اسپیکر,انکر,مشکی,0,0
40,اسپیکر بلوتوثی اپل مدل HomePod Mini-سفید,,اسپیکر,اپل,سفید,0,0
41,اسپیکر بلوتوثی پاناسونیک مدل SC-UA7-مشکی,,اسپیکر,پاناسونیک,مشکی,0,0
42,اسپیکر بلوتوثی تسکو مدل TS 1890-مشکی,,اسپیکر,تسکو,مشکی,0,0
43,اسپیکر بلوتوثی جی بی ال مدل clip 4-سبز,,اسپیکر,جی بی ال,سبز,0,0
44,اسپیکر بلوتوثی جی بی ال مدل Partybox Stage 320-مشکی,1403-05-15,اسپیکر,جی بی ال,مشکی,6,1
45,اسپیکر بلوتوثی جی بی ال مدل Partybox Stage 320-مشکی,1403-05-14,اسپیکر,جی بی ال,مشکی,6,1
46,اسپیکر بلوتوثی جی بی ال مدل Partybox Stage 320-مشکی,1403-05-31,اسپیکر,جی بی ال,مشکی,6,1
47,اسپیکر بلوتوثی جی بی ال مدل Partybox Stage 320-مشکی,1403-05-21,اسپیکر,جی بی ال,مشکی,6,1
48,اسپیکر بلوتوثی ریمکس مدل Scuba RB-M62-سبز,,اسپیکر,ریمکس,سبز,3,0
49,اسپیکر بلوتوثی قابل حمل انکر مدل Soundcore Motion 300 A3135-مشکی,1403-03-20,اسپیکر,انکر,مشکی,2,1
50,اسپیکر بلوتوثی قابل حمل انکر مدل Soundcore Motion 300 A3135-مشکی,1403-03-07,اسپیکر,انکر,مشکی,2,1
51,اسپیکر بلوتوثی قابل حمل برون مدل READY PRIME-خاکستری,,اسپیکر,برون,خاکستری,0,0
52,اسپیکر بلوتوثی قابل حمل تسکو مدل TS 2311-مشکی,,اسپیکر,تسکو,مشکی,0,0
53,اسپیکر بلوتوثی قابل حمل جی بی ال مدل Go 4-قرمز,,اسپیکر,جی بی ال,قرمز,9,0
54,اسپیکر بلوتوثی قابل حمل جی بی ال مدل Go3 -آبی,1403-03-20,اسپیکر,جی بی ال,آبی,0,1
55,اسپیکر بلوتوثی قابل حمل جی بی ال مدل Go3 -آبی,1403-03-10,اسپیکر,جی بی ال,آبی,0,1
56,اسپیکر بلوتوثی قابل حمل جی بی ال مدل Go3 -آبی,1403-03-03,اسپیکر,جی بی ال,آبی,0,1
57,اسپیکر بلوتوثی قابل حمل جی بی ال مدل Partybox on the go,1403-03-25,اسپیکر,نامشخص,مشکی,0,1
58,اسپیکر بلوتوثی قابل حمل رسی مدل RSK-W03-مشکی,,اسپیکر,رسی,مشکی,0,0
59,اسپیکر بلوتوثی قابل حمل سونی مدل GTK-PG10-مشکی,,اسپیکر,سونی,مشکی,0,0
60,اسپیکر بلوتوثی قابل حمل شیائومی مدل Mini Compact 2-سفید,,اسپیکر,شیائومی,سفید,0,0
61,اسپیکر بلوتوثی قابل حمل هارمن کاردن مدل Onyx Studio 7 -مشکی,1403-03-16,اسپیکر,هارمن کاردن,مشکی,0,1
62,اسپیکر بلوتوثی قابل حمل هارمن کاردن مدل Onyx Studio 8-طلایی,1403-01-14,اسپیکر,هارمن کاردن,طلایی,0,1
63,اسپیکر بلوتوثی قابل حمل کینگ استار مدل KBS330-مشکی,1403-02-25,اسپیکر,کینگ استار,مشکی,0,1
64,#g6^K LK-بنفش,1403-03-23,سشوار,برون,بنفش,2,1
65,#g6^K LK-بنفش,1403-03-16,سشوار,برون,بنفش,2,1
66,#g6^K LK-بنفش,1403-03-13,سشوار,برون,بنفش,2,1
67,#g6^K LK-بنفش,1403-03-19,سشوار,برون,بنفش,2,1
68,#g6^K LK-بنفش,1403-03-12,سشوار,برون,بنفش,2,1
69,#g6^K LK-بنفش,1403-02-20,سشوار,برون,بنفش,2,1
70,#g6^K LK-بنفش,1403-02-23,سشوار,برون,بنفش,2,1
71,#g6^K LK-بنفش,1403-02-22,سشوار,برون,بنفش,2,1
72,#g6^K LK-بنفش,1403-02-29,سشوار,برون,بنفش,2,1
73,#g6^K LK-بنفش,1403-02-29,سشوار,برون,بنفش,2,1
74,#g6^K LK-بنفش,1403-02-29,سشوار,برون,بنفش,2,1
75,#g6^K LK-بنفش,1403-02-29,سشوار,برون,بنفش,2,1
76,#g6^K LK-بنفش,1403-04-04,سشوار,برون,بنفش,2,1
77,#g6^K LK-بنفش,1403-02-30,سشوار,برون,بنفش,2,1
78,#g6^K LK-بنفش,1403-03-17,سشوار,برون,بنفش,2,1
79,#g6^K LK-بنفش,1403-02-28,سشوار,برون,بنفش,2,1
80,#g6^K LK-بنفش,1403-05-31,سشوار,برون,بنفش,2,1
81,#g6^K LK-بنفش,1403-02-14,سشوار,برون,بنفش,2,1
82,#g6^K LK-بنفش,1403-02-14,سشوار,برون,بنفش,2,1
83,#g6^K LK-بنفش,1403-02-12,سشوار,برون,بنفش,2,1
84,#g6^K LK-بنفش,1403-02-11,سشوار,برون,بنفش,2,1
85,#g6^K LK-بنفش,1403-02-01,سشوار,برون,بنفش,2,1
86,#g6^K LK-بنفش,1403-02-07,سشوار,برون,بنفش,2,1
87,#g6^K LK-بنفش,1403-04-12,سشوار,برون,بنفش,2,1
88,#g6^K LK-بنفش,1403-01-29,سشوار,برون,بنفش,2,1
89,#g6^K LK-بنفش,1403-01-29,سشوار,برون,بنفش,2,1
90,#g6^K LK-بنفش,1403-01-16,سشوار,برون,بنفش,2,1
91,#g6^K LK-بنفش,1403-01-23,سشوار,برون,بنفش,2,1
92,#g6^K LK-بنفش,1403-01-15,سشوار,برون,بنفش,2,1
